country,iso3,hs10,year,tariff_max,tariff_scaled,effective_mdate
"AUSTRIA","AUT",7220208000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220208000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220900015,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220900015,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220900060,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220900060,2019,.25,.25,2018m6
"AUSTRIA","AUT",7220900080,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7220900080,2019,.25,.25,2018m6
"AUSTRIA","AUT",7221000017,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7221000017,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222110001,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222110001,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222110006,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222110006,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222110057,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222110057,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222110059,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222110059,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222110082,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222110082,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222110084,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222110084,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222190001,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222190001,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222190006,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222190006,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222190052,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222190052,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222190054,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222190054,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200001,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200001,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200041,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200041,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200043,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200043,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200062,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200062,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200064,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200064,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200067,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200067,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200069,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200069,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200071,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200071,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222200073,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222200073,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222300001,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222300001,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222300012,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222300012,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222300022,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222300022,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222300024,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222300024,2019,.25,.25,2018m6
"AUSTRIA","AUT",7222300082,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7222300082,2019,.25,.25,2018m6
