hs8,country,tariff,effective_date
"29336100","china",.1,24sep2018
"29336929","china",.1,24sep2018
"29336990","china",.05,24sep2018
"29337900","china",.05,24sep2018
"29339100","china",.05,24sep2018
"29339900","china",.1,24sep2018
"29341090","china",.1,24sep2018
"29342000","china",.1,24sep2018
"29343000","china",.1,24sep2018
"29349100","china",.05,24sep2018
"29349910","china",.1,24sep2018
"29349930","china",.05,24sep2018
"29349990","china",.25,23aug2018
"29359000","china",.1,24sep2018
"29362100","china",.1,24sep2018
"29362200","china",.1,24sep2018
"29362300","china",.1,24sep2018
"29362400","china",.1,24sep2018
"29362500","china",.1,24sep2018
"29362600","china",.1,24sep2018
"29362700","china",.1,24sep2018
"29362800","china",.05,24sep2018
"29362900","china",.05,24sep2018
"29369090","china",.05,24sep2018
"29371210","china",.1,24sep2018
"29371290","china",.1,24sep2018
"29371900","china",.1,24sep2018
"29372290","china",.1,24sep2018
"29372390","china",.1,24sep2018
"29372900","china",.1,24sep2018
"29375000","china",.1,24sep2018
"29379000","china",.05,24sep2018
"29389090","china",.1,24sep2018
"29391100","china",.1,24sep2018
"29391900","china",.1,24sep2018
"29393000","china",.05,24sep2018
"29394200","china",.05,24sep2018
"29397190","china",.05,24sep2018
"29398000","china",.1,24sep2018
"29400090","china",.1,24sep2018
"29411019","china",.05,24sep2018
"29411093","china",.1,24sep2018
"29412000","china",.05,24sep2018
"29419010","china",.1,24sep2018
"29419059","china",.1,24sep2018
"29419090","china",.05,24sep2018
"29420000","china",.05,24sep2018
"30051010","china",.1,24sep2018
"30051090","china",.05,24sep2018
"30059010","china",.05,24sep2018
"30059090","china",.05,24sep2018
"30061000","china",.05,24sep2018
"30062000","china",.05,24sep2018
"30063000","china",.1,24sep2018
"30064000","china",.05,24sep2018
"30065000","china",.05,24sep2018
"30066010","china",.1,24sep2018
"30067000","china",.05,24sep2018
"30069100","china",.1,24sep2018
"31010019","china",.05,24sep2018
"31010090","china",.1,24sep2018
"31021000","china",.1,24sep2018
"31022100","china",.05,24sep2018
"31025000","china",.1,24sep2018
"31029090","china",.1,24sep2018
"31031900","china",.05,24sep2018
"31042020","china",.1,24sep2018
"31042090","china",.1,24sep2018
"31043000","china",.1,24sep2018
"31049090","china",.05,24sep2018
"31051000","china",.1,24sep2018
"31052000","china",.1,24sep2018
"31053000","china",.05,24sep2018
"31054000","china",.1,24sep2018
"31055900","china",.05,24sep2018
"31056000","china",.1,24sep2018
"31059010","china",.05,24sep2018
"31059090","china",.1,24sep2018
"32011000","china",.1,24sep2018
"32019010","china",.1,24sep2018
"32019090","china",.1,24sep2018
"32021000","china",.1,24sep2018
"32029000","china",.1,24sep2018
"32030011","china",.05,24sep2018
"32030019","china",.1,24sep2018
"32041100","china",.1,24sep2018
"32041200","china",.1,24sep2018
"32041300","china",.1,24sep2018
"32041400","china",.05,24sep2018
"32041510","china",.05,24sep2018
"32041590","china",.1,24sep2018
"32041600","china",.1,24sep2018
"32041700","china",.1,24sep2018
"32041911","china",.1,24sep2018
"32041919","china",.1,24sep2018
"32041990","china",.1,24sep2018
"32042000","china",.05,24sep2018
"32049010","china",.1,24sep2018
"32049020","china",.1,24sep2018
"32049090","china",.1,24sep2018
"32050000","china",.05,24sep2018
"32061110","china",.05,24sep2018
"32061190","china",.1,24sep2018
"32061900","china",.05,24sep2018
"32062000","china",.05,24sep2018
"32064100","china",.1,24sep2018
"32064210","china",.1,24sep2018
"32064290","china",.1,24sep2018
"32064911","china",.1,24sep2018
"32064919","china",.05,24sep2018
"32064990","china",.05,24sep2018
"32065000","china",.05,24sep2018
"32071000","china",.1,24sep2018
"32072000","china",.1,24sep2018
"32073000","china",.1,24sep2018
"32074000","china",.05,24sep2018
"32081000","china",.1,24sep2018
"32082010","china",.1,24sep2018
"32082020","china",.1,24sep2018
"32089010","china",.1,24sep2018
"32089090","china",.1,24sep2018
"32091000","china",.05,24sep2018
"32099010","china",.1,24sep2018
"32099020","china",.1,24sep2018
"32099090","china",.1,24sep2018
"32100000","china",.1,24sep2018
"32110000","china",.1,24sep2018
"32121000","china",.1,24sep2018
"32129000","china",.05,24sep2018
"32131000","china",.05,24sep2018
"32139000","china",.05,24sep2018
"32141010","china",.1,24sep2018
"32141090","china",.05,24sep2018
"32149000","china",.05,24sep2018
"32151100","china",.1,24sep2018
"32151900","china",.1,24sep2018
"32159010","china",.1,24sep2018
"32159020","china",.05,24sep2018
"32159090","china",.05,24sep2018
"33011200","china",.05,24sep2018
"33011210","eu",.25,22jun2018
"33011300","china",.05,24sep2018
"33011310","eu",.25,22jun2018
"33011910","china",.05,24sep2018
"33011990","china",.05,24sep2018
"33012400","china",.05,24sep2018
"33012500","china",.05,24sep2018
"33012910","china",.05,24sep2018
"33012920","china",.1,24sep2018
"33012930","china",.05,24sep2018
"33012940","china",.1,24sep2018
"33012950","china",.05,24sep2018
"33012960","china",.05,24sep2018
"33012991","china",.1,24sep2018
"33012999","china",.05,24sep2018
"33013010","china",.1,24sep2018
"33013090","china",.1,24sep2018
"33019010","china",.05,24sep2018
"33019010","eu",.25,22jun2018
"33019020","china",.05,24sep2018
"33019030","eu",.25,22jun2018
"33019090","china",.1,24sep2018
"33019090","eu",.25,22jun2018
"33021010","china",.1,24sep2018
"33021090","china",.05,24sep2018
"33029000","china",.1,24sep2018
"33029010","eu",.25,22jun2018
"33029090","eu",.25,22jun2018
"33030000","china",.1,24sep2018
"33041000","china",.1,24sep2018
"33041000","eu",.25,22jun2018
"33041000","turkey",.3,21jun2018
"33042000","china",.1,24sep2018
"33042000","eu",.25,22jun2018
"33042000","turkey",.3,21jun2018
"33043000","canada",.1,01jul2018
